,subject.id,subject.mass,cage,Date.Time,vo2,vco2,ee,rer,feed,feed.acc,drink,drink.acc,xytot,xyamb,wheel,wheel.acc,pedmeter,allmeter,body.temp,hour,day,exp.hour,exp.day,Diet..LF.or.HF.,cal.g,FEED.KCAL.,FEED.ACC.Kcal.,room.temperature.C
50,1_D1,45.57,101,5/12/15 0:37,119.94024,93.28179,0.575854146,0.777735562,0,3.91,NA,NA,325,39,NA,NA,NA,NA,NA,5/12/15 0:00,5/12/15,15,0,HF,5.21,0,20.3711,22
51,1_D1,45.57,101,5/12/15 0:55,122.76558,93.19065,0.58688801,0.759094284,0.09,4,NA,NA,132,30,NA,NA,NA,NA,NA,5/12/15 0:00,5/12/15,15,0,HF,5.21,0.4689,20.84,22
52,1_D1,45.57,101,5/12/15 1:13,116.79591,92.5071,0.562605534,0.792040577,0.06,4.06,NA,NA,133,9,NA,NA,NA,NA,NA,5/12/15 1:00,5/12/15,16,0,HF,5.21,0.3126,21.1526,22
53,1_D1,45.57,101,5/12/15 1:31,129.14538,100.89198,0.620548472,0.781227946,0.08,4.14,NA,NA,54,11,NA,NA,NA,NA,NA,5/12/15 1:00,5/12/15,16,0,HF,5.21,0.4168,21.5694,22
54,1_D1,45.57,101,5/12/15 1:49,119.48454,93.50964,0.574310234,0.782608696,0,4.14,NA,NA,286,26,NA,NA,NA,NA,NA,5/12/15 1:00,5/12/15,16,0,HF,5.21,0,21.5694,22
55,1_D1,45.57,101,5/12/15 2:07,120.57822,93.19065,0.578267624,0.772864701,0.08,4.22,NA,NA,160,58,NA,NA,NA,NA,NA,5/12/15 2:00,5/12/15,17,0,HF,5.21,0.4168,21.9862,22
56,1_D1,45.57,101,5/12/15 2:25,131.01375,103.85403,0.631187746,0.792695652,0,4.22,NA,NA,264,11,NA,NA,NA,NA,NA,5/12/15 2:00,5/12/15,17,0,HF,5.21,0,21.9862,22
57,1_D1,45.57,101,5/12/15 2:43,166.7862,129.4188,0.800441607,0.775956284,0.11,4.33,NA,NA,2070,1092,NA,NA,NA,NA,NA,5/12/15 2:00,5/12/15,17,0,HF,5.21,0.5731,22.5593,22
58,1_D1,45.57,101,5/12/15 3:01,145.00374,113.78829,0.697309588,0.784726587,0.09,4.42,NA,NA,1081,351,NA,NA,NA,NA,NA,5/12/15 3:00,5/12/15,18,0,HF,5.21,0.4689,23.0282,22
59,1_D1,45.57,101,5/12/15 3:19,131.92515,96.69954,0.626866707,0.73298791,0.1,4.52,NA,NA,805,193,NA,NA,NA,NA,NA,5/12/15 3:00,5/12/15,18,0,HF,5.21,0.521,23.5492,22
60,1_D1,45.57,101,5/12/15 3:37,134.75049,94.87674,0.635985356,0.704091985,0.01,4.53,NA,NA,157,4,NA,NA,NA,NA,NA,5/12/15 3:00,5/12/15,18,0,HF,5.21,0.0521,23.6013,22
61,1_D1,45.57,101,5/12/15 3:55,137.98596,107.63634,0.66284846,0.78005284,0.11,4.64,NA,NA,930,413,NA,NA,NA,NA,NA,5/12/15 3:00,5/12/15,18,0,HF,5.21,0.5731,24.1744,22
62,1_D1,45.57,101,5/12/15 4:13,118.89213,91.18557,0.569405125,0.766960521,0.02,4.66,NA,NA,40,2,NA,NA,NA,NA,NA,5/12/15 4:00,5/12/15,19,0,HF,5.21,0.1042,24.2786,22
63,1_D1,45.57,101,5/12/15 4:31,123.039,96.92739,0.592098392,0.787777778,0.05,4.71,NA,NA,58,14,NA,NA,NA,NA,NA,5/12/15 4:00,5/12/15,19,0,HF,5.21,0.2605,24.5391,22
64,1_D1,45.57,101,5/12/15 4:49,128.41626,103.17048,0.620195032,0.803406671,0.03,4.74,NA,NA,375,67,NA,NA,NA,NA,NA,5/12/15 4:00,5/12/15,19,0,HF,5.21,0.1563,24.6954,22
65,1_D1,45.57,101,5/12/15 5:07,160.04184,125.72763,0.76977965,0.785592255,0.1,4.84,NA,NA,855,483,NA,NA,NA,NA,NA,5/12/15 5:00,5/12/15,20,0,HF,5.21,0.521,25.2164,22
66,1_D1,45.57,101,5/12/15 5:25,154.75572,125.22636,0.748392647,0.809187279,0.06,4.9,NA,NA,1434,626,NA,NA,NA,NA,NA,5/12/15 5:00,5/12/15,20,0,HF,5.21,0.3126,25.529,22
67,1_D1,45.57,101,5/12/15 5:43,136.43658,109.41357,0.65870797,0.801937208,0.02,4.92,NA,NA,375,44,NA,NA,NA,NA,NA,5/12/15 5:00,5/12/15,20,0,HF,5.21,0.1042,25.6332,22
68,1_D1,45.57,101,5/12/15 6:01,132.56313,98.20335,0.6310442,0.7408044,0,4.92,NA,NA,79,5,NA,NA,NA,NA,NA,5/12/15 6:00,5/12/15,21,0,HF,5.21,0,25.6332,22
69,1_D1,45.57,101,5/12/15 6:19,145.68729,107.72748,0.693300203,0.739443228,0.05,4.97,NA,NA,922,423,NA,NA,NA,NA,NA,5/12/15 6:00,5/12/15,21,0,HF,5.21,0.2605,25.8937,22
70,1_D1,45.57,101,5/12/15 6:37,119.53011,88.63365,0.56909698,0.741517347,0.01,4.98,NA,NA,476,133,NA,NA,NA,NA,NA,5/12/15 6:00,5/12/15,21,0,HF,5.21,0.0521,25.9458,22
71,1_D1,45.57,101,5/12/15 6:55,110.46168,80.2032,0.52403422,0.726072607,0.01,4.99,NA,NA,114,11,NA,NA,NA,NA,NA,5/12/15 6:00,5/12/15,21,0,HF,5.21,0.0521,25.9979,22
72,1_D1,45.57,101,5/12/15 7:13,108.54774,83.16525,0.51976741,0.766162888,0.04,5.03,NA,NA,145,16,NA,NA,NA,NA,NA,5/12/15 7:00,5/13/15,22,1,HF,5.21,0.2084,26.2063,22
73,1_D1,45.57,101,5/12/15 7:31,107.49963,81.16017,0.51341919,0.754980924,0.01,5.04,NA,NA,41,12,NA,NA,NA,NA,NA,5/12/15 7:00,5/13/15,22,1,HF,5.21,0.0521,26.2584,22
74,1_D1,45.57,101,5/12/15 7:49,109.368,85.39818,0.525469675,0.780833333,0.03,5.07,NA,NA,292,16,NA,NA,NA,NA,NA,5/12/15 7:00,5/13/15,22,1,HF,5.21,0.1563,26.4147,22
75,1_D1,45.57,101,5/12/15 8:07,116.24907,94.64889,0.562819257,0.814190514,0,5.07,NA,NA,146,13,NA,NA,NA,NA,NA,5/12/15 8:00,5/13/15,23,1,HF,5.21,0,26.4147,22
76,1_D1,45.57,101,5/12/15 8:25,109.00344,82.026,0.520303313,0.752508361,0.05,5.12,NA,NA,40,17,NA,NA,NA,NA,NA,5/12/15 8:00,5/13/15,23,1,HF,5.21,0.2605,26.6752,22
77,1_D1,45.57,101,5/12/15 8:43,107.13507,83.71209,0.514804882,0.78136963,0,5.12,NA,NA,32,4,NA,NA,NA,NA,NA,5/12/15 8:00,5/13/15,23,1,HF,5.21,0,26.6752,22
78,1_D1,45.57,101,5/12/15 9:01,120.48708,92.91723,0.577606039,0.77118003,0.01,5.13,NA,NA,271,43,NA,NA,NA,NA,NA,5/12/15 9:00,5/13/15,24,1,HF,5.21,0.0521,26.7273,22
79,1_D1,45.57,101,5/12/15 9:19,118.57314,87.9501,0.564569555,0.741737125,0.01,5.14,NA,NA,149,51,NA,NA,NA,NA,NA,5/12/15 9:00,5/13/15,24,1,HF,5.21,0.0521,26.7794,22
80,1_D1,45.57,101,5/12/15 9:37,109.50471,86.71971,0.527470061,0.791926758,0,5.14,NA,NA,381,0,NA,NA,NA,NA,NA,5/12/15 9:00,5/13/15,24,1,HF,5.21,0,26.7794,22
