"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","acclimation"
76,"M6",26.85,23.57,2.01,"Light","LFD",0.37787027,0,39.0404,NA,99.62162162,90.35135135,0.492537405,0.903657735,3226.135135,2309.297297,NA,NA,-0.114667135,TRUE
77,"M6",26.85,23.57,2.01,"Full day","LFD",0.536893151,0,39.0404,NA,106.7534247,100.2328767,0.531572808,0.934745306,5373.726027,3932.561644,NA,NA,0.005320342,TRUE
78,"M6",26.85,23.57,2.01,"Dark","LFD",0.700333333,0,37.245,NA,114.0833333,110.3888889,0.571692528,0.966696421,7580.972222,5600.916667,NA,NA,0.128640806,TRUE
79,"M7",35.3,23.395,10.9,"Light","HFD",0.374556757,0,38.1893,NA,106.0540541,83.08108108,0.509846703,0.782473876,2095.864865,1378.594595,NA,NA,-0.135289946,TRUE
80,"M7",35.3,23.395,10.9,"Full day","HFD",0.526709589,0,38.1893,NA,112.9726027,88.87671233,0.543522671,0.785349633,2564.808219,1679.410959,NA,NA,-0.016813082,TRUE
81,"M7",35.3,23.395,10.9,"Dark","HFD",0.683088889,0,37.7204,NA,120.0833333,94.83333333,0.578134083,0.788305272,3046.777778,1988.583333,NA,NA,0.104954806,TRUE
82,"M8",30.9,22.91,6.81,"Full day","HFD",0.474609589,0,34.4902,NA,118.3972603,92.21917808,0.568598014,0.777592092,4398.972603,3135.890411,NA,NA,-0.093988425,TRUE
83,"M8",30.9,22.91,6.81,"Dark","HFD",0.633883333,0,33.0314,NA,125.2777778,98.36111111,0.602507111,0.78444276,5961.888889,4283.972222,NA,NA,0.031376222,TRUE
84,"M8",30.9,22.91,6.81,"Light","HFD",0.319640541,0,34.4902,NA,111.7027027,86.24324324,0.535605378,0.770926577,2878.297297,2018.837838,NA,NA,-0.215964838,TRUE
85,"V1",27.765,18.75865,3.438405,"Dark","LFD",0.829801622,0.121271944,39.72760654,7.568526,105.0796453,102.507642,0.527492334,0.973575854,246.7274292,NA,1.051216509,1.299909906,0.302309288,TRUE
86,"V1",27.765,18.75865,3.438405,"Light","LFD",0.277954129,0.038298389,31.61125254,6.154032,83.14209256,73.89200647,0.409387546,0.884553383,81.13905093,NA,0.183880787,0.27237662,-0.131433417,TRUE
87,"V1",27.765,18.75865,3.438405,"Full day","LFD",0.553877876,0.079785167,39.72760654,7.568526,94.00835701,88.06610633,0.467888049,0.928648626,163.1594626,NA,0.613495678,0.781341706,0.085989827,TRUE
88,"V10",30.65,18.3412,10.85135,"Full day","HFD",0.460284035,0.071282819,33.14045051,6.701165,95.36316737,77.13833114,0.461141237,0.808860679,115.771028,NA,0.285638668,0.429731075,-0.000857202,TRUE
89,"V10",30.65,18.3412,10.85135,"Light","HFD",0.134529436,0.021383306,24.22866215,5.353926,86.77468529,68.95292231,0.418240967,0.796136439,53.39923611,NA,0.058613426,0.124785648,-0.283711531,TRUE
90,"V10",30.65,18.3412,10.85135,"Dark","HFD",0.786038634,0.121182333,33.14045051,6.701165,104.1136963,85.47818165,0.504850946,0.821825,179.3196462,NA,0.516947406,0.740430189,0.281187688,TRUE
91,"V11",31.95,18.6417,11.4288,"Dark","HFD",0.928621572,0.070094444,41.6971409,5.096549,103.7492919,83.75615992,0.501510272,0.809378619,157.9496934,NA,0.471898821,0.644985377,0.4271113,TRUE
92,"V11",31.95,18.6417,11.4288,"Light","HFD",0.229632342,0.042708222,31.95808269,3.952976,90.16146054,73.04545203,0.436114586,0.812440906,95.87173611,NA,0.178102778,0.281531713,-0.206482244,TRUE
93,"V11",31.95,18.6417,11.4288,"Full day","HFD",0.579126957,0.056401333,41.6971409,5.096549,96.8918817,78.35075593,0.468506842,0.810924072,126.6206308,NA,0.323627921,0.461560164,0.110620115,TRUE
94,"V12",30.9,18.696,11.4203,"Full day","HFD",0.496515098,0.049806167,35.74908709,4.660392,95.76906004,76.34029322,0.46185823,0.798643185,102.4424533,NA,0.457363551,0.574868458,0.034656869,TRUE
95,"V12",30.9,18.696,11.4203,"Dark","HFD",0.720761241,0.073075778,35.74908709,4.660392,105.4309742,84.07010717,0.508485008,0.799293347,164.6141509,NA,0.802394811,0.982133019,0.212276233,TRUE
96,"V12",30.9,18.696,11.4203,"Light","HFD",0.272268956,0.026536556,28.50004939,3.963923,86.28607024,68.75362397,0.416094911,0.798005063,41.42208333,NA,0.118721759,0.175145833,-0.143825955,TRUE
97,"V13",29.15,18.4233,6.51846,"Light","HFD",0.135681714,0.019717806,11.3556118,3.759979,81.26531043,63.72246719,0.390743637,0.781845164,79.0274537,NA,0.123771296,0.229915278,-0.255061923,TRUE
98,"V13",29.15,18.4233,6.51846,"Dark","HFD",0.31755196,0.065291694,16.25548655,4.56392,98.15965388,77.36652119,0.472414568,0.787936827,182.9508019,NA,0.789008726,1.004520991,-0.154862608,TRUE
99,"V13",29.15,18.4233,6.51846,"Full day","HFD",0.226616837,0.04250475,16.25548655,4.56392,89.63353663,70.48073693,0.431197463,0.78486253,130.5035047,NA,0.453281425,0.613598481,-0.204580626,TRUE
100,"V14",30.1,17.5776,7.03663,"Light","HFD",0.41777427,0.054649389,28.81205545,6.315645,87.90102876,70.83163882,0.424757747,0.806086962,99.16310185,NA,0.110233102,0.211778935,-0.006983477,TRUE
101,"V14",30.1,17.5776,7.03663,"Dark","HFD",0.62645836,0.11972125,37.59237467,8.086481,104.7509332,84.52954462,0.506313104,0.807175667,295.8925296,NA,0.90832766,1.204467139,0.120145256,TRUE
102,"V14",30.1,17.5776,7.03663,"Full day","HFD",0.522116315,0.087185319,37.59237467,8.086481,96.23729727,77.60849748,0.465106187,0.806625585,196.4923977,NA,0.505079883,0.702898363,0.057010128,TRUE
