"X","Subject.ID","Total.Mass","Lean.Mass","Fat.Mass","Time.of.Day","Group","Hourly.Food.Intake","Hourly.Water.Intake","Cumulative.Food.Intake","Cumulative.Water.Intake","Oxygen.Consumption","Carbon.Dioxide.Production","Energy.Expenditure","Respiratory.Exchange.Ratio","Locomotor.Activity","Ambulatory.Activity","Pedestrian.Locomotion","Total.Distance..includes.fine.movement.","Energy.Balance","Acclimated"
64,"M2",20.2,18.16,1.255,"Light","Umass",0.209190476,0,35.8698,NA,84.19047619,72.78571429,0.412295667,0.85920079,0.085644421,1551.833333,NA,NA,-0.20310519,TRUE
65,"M2",20.2,18.16,1.255,"Full day","Umass",0.459869231,0,35.8698,NA,91.29487179,84.21794872,0.452938141,0.914093192,0.174568723,3340.051282,NA,NA,0.00693109,TRUE
66,"M2",20.2,18.16,1.255,"Dark","Umass",0.752327778,0,34.7238,NA,99.58333333,97.55555556,0.500354361,0.978134328,0.278313741,5426.305556,NA,NA,0.251973417,TRUE
67,"M3",19.25,17.315,1.24,"Dark","Umass",0.90725,0,35.5642,NA,104.3055556,109.3055556,0.531960139,1.046446364,0.248663805,4806.111111,NA,NA,0.375289861,TRUE
68,"M3",19.25,17.315,1.24,"Full day","Umass",0.463787179,0,36.1754,NA,96.44871795,91.07692308,0.480835474,0.933661882,0.158009281,2982.282051,NA,NA,-0.017048295,TRUE
69,"M3",19.25,17.315,1.24,"Light","Umass",0.08367619,0,36.1754,NA,89.71428571,75.45238095,0.437014333,0.836989469,0.080305404,1419,NA,NA,-0.353338143,TRUE
70,"M4",18.9,16.805,1.27,"Light","Umass",0.186452381,0,32.8138,NA,81.02380952,68.64285714,0.395233833,0.844475887,0.095377279,1708.690476,NA,NA,-0.208781452,TRUE
71,"M4",18.9,16.805,1.27,"Full day","Umass",0.453012821,0,32.8138,NA,88.98717949,81.91025641,0.441291218,0.910919866,0.209909507,4101.602564,NA,NA,0.011721603,TRUE
72,"M4",18.9,16.805,1.27,"Dark","Umass",0.764,0,32.3172,NA,98.27777778,97.38888889,0.495024833,0.988437841,0.343530441,6893.333333,NA,NA,0.268975167,TRUE
73,"M5",20.15,18.14,1.025,"Light","Umass",0.16462381,0,39.0786,NA,91.04761905,78.95238095,0.44614,0.865542287,0.094675902,1716.619048,NA,NA,-0.28151619,TRUE
